23 三月 2015 | 16:16:31,506 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 4, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13474 }
23 三月 2015 | 16:16:31,506 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:16:31,506 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 2, Priv: 0, Sess: 127.0.0.1:13474 ) , SessionLen: 1146, Type: C#MonoOrWin
23 三月 2015 | 16:16:31,506 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:16:31,507 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 3, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13475 }
23 三月 2015 | 16:16:31,507 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:16:31,507 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 3, Priv: 0, Sess: 127.0.0.1:13475 ) , SessionLen: 1146, Type: C#MonoOrWin
23 三月 2015 | 16:16:31,507 | INFO  | SocketReader | bitswarm.core.SocketReader |     | Socket closed: java.nio.channels.SocketChannel[closed]
23 三月 2015 | 16:20:13,520 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 5, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13769 } on Server linkPort: 9934 <---> 13769
23 三月 2015 | 16:20:13,520 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 6, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13770 } on Server linkPort: 9934 <---> 13770
23 三月 2015 | 16:20:13,622 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 4, Priv: 0, Sess: 127.0.0.1:13769 ) , Type: C#MonoOrWin
23 三月 2015 | 16:20:13,623 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 5, Priv: 0, Sess: 127.0.0.1:13770 ) , Type: C#MonoOrWin
23 三月 2015 | 16:20:13,924 | INFO  | MPWorker:Ext:4 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:20:13,929 | INFO  | MPWorker:Ext:1 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:20:17,955 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 5, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13769 }
23 三月 2015 | 16:20:17,956 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: ggg1离开! 
23 三月 2015 | 16:20:17,956 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg1, Id: 4, Priv: 0, Sess: 127.0.0.1:13769 ) , SessionLen: 4334, Type: C#MonoOrWin
23 三月 2015 | 16:20:17,956 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 6, Type: DEFAULT, Logged: Yes, IP: 127.0.0.1:13770 }
23 三月 2015 | 16:20:17,957 | INFO  | SocketReader | mpnet.api.MPApi |     | User disconnected: ( User Name: ggg2, Id: 5, Priv: 0, Sess: 127.0.0.1:13770 ) , SessionLen: 4334, Type: C#MonoOrWin
23 三月 2015 | 16:20:17,958 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: ggg2离开! 
23 三月 2015 | 16:20:20,381 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 7, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13777 } on Server linkPort: 9934 <---> 13777
23 三月 2015 | 16:20:20,381 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 8, Type: DEFAULT, Logged: No, IP: 127.0.0.1:13776 } on Server linkPort: 9934 <---> 13776
23 三月 2015 | 16:20:20,482 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg1, Id: 6, Priv: 0, Sess: 127.0.0.1:13776 ) , Type: C#MonoOrWin
23 三月 2015 | 16:20:20,483 | INFO  | SocketReader | mpnet.api.MPApi |     | User login: ( User Name: ggg2, Id: 7, Priv: 0, Sess: 127.0.0.1:13777 ) , Type: C#MonoOrWin
23 三月 2015 | 16:20:20,784 | INFO  | MPWorker:Ext:2 | Extensions |     | {extension - test }: hello server 
23 三月 2015 | 16:20:20,789 | INFO  | MPWorker:Ext:3 | Extensions |     | {extension - test }: hello server 
